Metric,Avg,Min,Max,Unit
Req,3.0,3.0,3.0,Req per wave
Hits,2.0,2.0,2.0,Req per wave
Misses - Non Duplicated,0.14,0.14,0.14,Req per wave
Misses- Duplicated,0.86,0.86,0.86,Req per wave
Cache Hit Rate,66.67,66.67,66.67,Pct
Read Req (Total),3.0,3.0,3.0,Req per wave
Atomic Req,0.0,0.0,0.0,Req per wave
Read Req (1 DWord),2.0,2.0,2.0,Req per wave
Read Req (2 DWord),0.0,0.0,0.0,Req per wave
Read Req (4 DWord),1.0,1.0,1.0,Req per wave
Read Req (8 DWord),0.0,0.0,0.0,Req per wave
Read Req (16 DWord),0.0,0.0,0.0,Req per wave
